Algorithm,Time Complexity,Space Complexity,,
Best,Average,Worst,      Worst,
Selection Sort,O(n^2),O(n^2),O(n^2),O(1)
Bubble Sort,O(n),O(n^2),O(n^2),O(1)
Insertion Sort,O(n),O(n^2),O(n^2),O(1)
Heap Sort,O(n log(n)),O(n log(n)),O(n log(n)),O(1)
Quick Sort,O(n log(n)),O(n log(n)),O(n^2),O(n)
Merge Sort,O(n log(n)),O(n log(n)),O(n log(n)),O(n)
Bucket Sort,O(n +k),O(n +k),O(n^2),O(n)
Radix Sort,O(nk),O(nk),O(nk),O(n + k)
Count Sort,O(n +k),O(n +k),O(n +k),O(k)
Shell Sort,O(n log(n)),O(n log(n)),O(n^2),O(1)
Tim Sort,O(n),O(n log(n)),O(n log (n)),O(n)
Tree Sort,O(n log(n)),O(n log(n)),O(n^2),O(n)
Cube Sort,O(n),O(n log(n)),O(n log(n)),O(n)
